STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,OPTIONALITY,Optionality,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,BEL,Belgium,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,61.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CAN,Canada,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,47.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CHL,Chile,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,61.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,COL,Colombia,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,80.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CRI,Costa Rica,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,62.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,71.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,115.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,EST,Estonia,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,51.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,FIN,Finland,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,57.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,FRA,France,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,56.6,,A,Normal value,0,Units,1,One
